date,open,high,low,close,volume,returns,log_returns,volatility,short_ma,long_ma,signal,position_change
2020-01-02,323.54,324.89,322.53,324.87,59037072,,,,,,0,
2020-01-03,321.16,323.64,321.1,322.41,77708081,-0.007572259673099935,-0.007601074787226067,,,,0,0.0
2020-01-06,320.49,323.73,320.36,323.64,55596982,0.003815018144598392,0.003807759418467199,,,,0,0.0
2020-01-07,323.02,323.54,322.24,322.73,40461249,-0.0028117661599307286,-0.0028157266000295596,,,,0,0.0
2020-01-08,322.94,325.78,322.67,324.45,68177241,0.005329532426486372,0.005315380727568013,,,,0,0.0
2020-01-09,326.16,326.73,325.52,326.65,48421935,0.006780705809831922,0.0067578202195817845,,,,0,0.0
2020-01-10,327.29,327.46,325.2,325.71,53028660,-0.0028776978417266452,-0.0028818463748889263,,,,0,0.0
2020-01-13,326.39,327.96,325.92,327.95,47026115,0.006877283473028184,0.006853742827874079,,,,0,0.0
2020-01-14,327.47,328.62,326.84,327.45,62784185,-0.0015246226558927045,-0.0015257860756819445,,,,0,0.0
2020-01-15,327.35,329.02,327.26,328.19,71870739,0.00225988700564983,0.002257337301650086,,,,0,0.0
2020-01-16,329.7,330.92,329.45,330.92,53788867,0.008318352174045529,0.008283945356269584,,,,0,0.0
2020-01-17,331.7,332.18,330.85,331.95,95778839,0.003112534751601448,0.0031077008431860645,,,,0,0.0
2020-01-21,330.9,332.18,330.82,331.3,77624157,-0.001958126223828849,-0.001960045859318137,,,,0,0.0
2020-01-22,332.24,332.95,331.17,331.34,48705035,0.00012073649260480046,0.0001207292045410948,,,,0,0.0
2020-01-23,330.63,332.17,329.41,331.72,51828259,0.0011468582121085813,0.0011462010726118045,,,,0,0.0
2020-01-24,332.44,332.53,327.36,328.77,87465785,-0.00889304232485244,-0.008932821439592634,,,,0,0.0
2020-01-27,323.03,325.12,322.66,323.5,83797934,-0.016029443075706418,-0.016159304202455257,,,,0,0.0
2020-01-28,325.06,327.85,323.6,326.89,63519891,0.010479134466769624,0.010424608926697842,,,,0,0.0
2020-01-29,328.38,328.63,326.4,326.62,53714641,-0.0008259659212578319,-0.0008263072190558795,,,,0,0.0
2020-01-30,324.36,327.91,323.54,327.68,75184385,0.003245361582266959,0.003240106762491162,,327.23699999999997,,0,0.0
2020-01-31,327.0,327.17,320.73,321.73,113659402,-0.018157958984375,-0.018324837929029017,0.007552641155040185,327.08000000000004,,0,0.0
2020-02-03,323.35,326.16,323.22,324.12,68931216,0.0074285891896932466,0.007401133110465286,0.007553834588741749,327.1655,,0,0.0
2020-02-04,328.07,330.01,327.72,329.06,61704740,0.015241268665926233,0.01512628736597954,0.008235654926735912,327.43649999999997,,0,0.0
2020-02-05,332.27,333.09,330.67,332.86,64864742,0.01154804594906711,0.01148187620007645,0.008519476114271252,327.94300000000004,,0,0.0
2020-02-06,333.91,334.19,332.8,333.98,49982975,0.003364777984738332,0.0033591297857059423,0.008485236804994165,328.41949999999997,,0,0.0
2020-02-07,332.82,333.99,331.6,332.2,64074382,-0.005329660458710195,-0.005343913765091937,0.008519313087085588,328.697,,0,0.0
2020-02-10,331.23,334.75,331.19,334.68,41779456,0.007465382299819412,0.007437654248203423,0.00859298595586447,329.14549999999997,,0,0.0
2020-02-11,336.16,337.02,334.68,335.26,54773045,0.0017329986853114043,0.0017314987757339484,0.008496683303695051,329.511,,0,0.0
2020-02-12,336.83,337.65,336.43,337.42,42844434,0.006442760842331419,0.006422094974697104,0.008551908834239426,330.0095,,0,0.0
2020-02-13,335.86,338.12,335.56,337.06,54038002,-0.001066919566119373,-0.0010674891299548971,0.00856941638758159,330.453,,0,0.0
2020-02-14,337.51,337.73,336.2,337.6,64518123,0.0016020886489052089,0.001600806673928127,0.008412935810767599,330.787,,0,0.0
