date,0
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,104622.31747039221
2020-03-16,104116.52623375008
2020-03-17,104338.7860408256
2020-03-18,104119.10067166988
2020-03-19,104127.85376059718
2020-03-20,103926.8759736586
2020-03-23,103826.47289478667
2020-03-24,104173.16386798554
2020-03-25,104235.6368948392
2020-03-26,104482.95456433405
2020-03-27,104349.42705089408
2020-03-30,104490.67787809343
2020-03-31,104423.74249217879
2020-04-01,104224.65262638142
2020-04-02,104322.13800894427
2020-04-03,104259.66498209062
2020-04-06,104545.770849577
2020-04-07,104550.40483783264
2020-04-08,104703.15482107374
2020-04-09,104774.724195244
2020-04-13,104731.13037980215
2020-04-14,104870.66491505498
2020-04-15,104767.17251067927
2020-04-16,104790.17082276275
2020-04-17,104919.57923553106
2020-04-20,104832.90649223133
2020-04-21,104686.1635308031
2020-04-22,104790.17082276275
2020-04-23,104789.82756437345
2020-04-24,104856.59132109344
2020-04-27,104926.61603251183
2020-04-28,104903.96097881765
2020-04-29,105032.33961641802
2020-04-30,99618.602521586
2020-05-01,99390.34071826527
2020-05-04,99413.4934109298
2020-05-05,99491.26271193114
2020-05-06,99433.67780966297
2020-05-07,99535.49029150823
2020-05-08,99676.78108264043
2020-05-11,99678.56205899923
2020-05-12,99505.5105228016
2020-05-13,99355.01802048224
2020-05-14,99455.04952596869
2020-05-15,99493.93417646935
2020-05-18,99752.76940728296
2020-05-19,99662.8301011631
2020-05-20,99810.057480158
2020-05-21,99749.20745456534
2020-05-22,99765.8299005809
2020-05-26,99873.87579968199
2020-05-27,100005.964879627
2020-05-28,99989.34243361145
2020-05-29,100029.41440168465
2020-06-01,100065.92441704025
2020-06-02,100141.02225350337
2020-06-03,100262.72230468866
2020-06-04,100238.38229445161
2020-06-05,100475.25215017323
2020-06-08,100589.82829592329
2020-06-09,100518.29241217779
2020-06-10,100465.15995080664
2020-06-11,99919.29069683162
2020-06-12,100026.14927836017
2020-06-15,100110.44882601048
2020-06-16,100285.87499735318
2020-06-17,100247.28717624565
2020-06-18,100250.84912896327
2020-06-19,100157.64469951892
2020-06-22,100216.41691935963
2020-06-23,100258.86352257791
2020-06-24,100022.58732564255
2020-06-25,100119.35370780452
2020-06-26,99902.66825081607
2020-06-29,100033.57001318854
2020-06-30,100149.33347651115
2020-07-01,100213.44862542828
2020-07-02,100264.20645165435
2020-07-06,100407.27821914534
2020-07-07,100310.21500759025
2020-07-08,100381.45406194261
2020-07-09,100328.02477117834
2020-07-10,100423.30700637463
2020-07-13,100341.67892326255
2020-07-14,100462.78531566157
2020-07-15,100549.75632785009
2020-07-16,100518.29241217779
2020-07-17,100545.89754573934
2020-07-20,100623.0731879544
2020-07-21,100643.5544160807
2020-07-22,100698.46785381065
2020-07-23,100582.70439048806
2020-07-24,100520.963876716
2020-07-27,100590.42195470957
2020-07-28,100529.57192911691
2020-07-29,100646.81953940519
2020-07-30,100612.38732980154
2020-07-31,100688.37565444407
2020-08-03,100755.75592668568
2020-08-04,100793.45325961382
2020-08-05,100854.30328520646
2020-08-06,100920.1994104824
2020-08-07,100927.32331591765
2020-08-10,100957.00625523113
2020-08-11,100874.78451333276
2020-08-12,101012.51335174734
2020-08-13,100994.40675876613
2020-08-14,100994.70358815926
2020-08-17,101026.46433322469
2020-08-18,101048.13287892353
2020-08-19,101006.27993449151
2020-08-20,101037.44702077068
2020-08-21,101073.06654794686
2020-08-24,101175.17585918526
2020-08-25,101210.79538636144
2020-08-26,101313.20152699297
2020-08-27,101335.76056087122
2020-08-28,101402.54717432657
2020-08-31,101364.84984139843
2020-09-01,101462.50671173981
2020-09-02,101613.8897022386
2020-09-03,101248.49271928957
2020-09-04,101164.78683042554
2020-09-08,100886.9545184513
2020-09-09,101082.26825913404
2020-09-10,100907.13891718446
2020-09-11,100912.18501686776
2020-09-14,101042.78994984711
2020-09-15,101093.54777607317
2020-09-16,101053.47580799996
2020-09-17,100965.02064884576
2020-09-18,100810.96619380877
2020-09-21,100701.73297713514
2020-09-22,100800.57716504905
2020-09-23,100573.20584990774
2020-09-24,100598.73317771734
2020-09-25,100753.97495032688
2020-09-28,100916.04379897851
2020-09-29,100862.02084942797
2020-09-30,113635.29051185587
2020-10-01,113716.87873403644
2020-10-02,113595.4451010235
2020-10-05,113820.0973220974
2020-10-06,113636.80843226853
2020-10-07,113858.04533241394
2020-10-08,113972.64832356988
2020-10-09,114089.14871524164
