date,open,high,low,close,volume
2020-01-02,323.54,324.89,322.53,324.87,59037072
2020-01-03,321.16,323.64,321.1,322.41,77708081
2020-01-06,320.49,323.73,320.36,323.64,55596982
2020-01-07,323.02,323.54,322.24,322.73,40461249
2020-01-08,322.94,325.78,322.67,324.45,68177241
2020-01-09,326.16,326.73,325.52,326.65,48421935
2020-01-10,327.29,327.46,325.2,325.71,53028660
2020-01-13,326.39,327.96,325.92,327.95,47026115
2020-01-14,327.47,328.62,326.84,327.45,62784185
2020-01-15,327.35,329.02,327.26,328.19,71870739
2020-01-16,329.7,330.92,329.45,330.92,53788867
2020-01-17,331.7,332.18,330.85,331.95,95778839
2020-01-21,330.9,332.18,330.82,331.3,77624157
2020-01-22,332.24,332.95,331.17,331.34,48705035
2020-01-23,330.63,332.17,329.41,331.72,51828259
2020-01-24,332.44,332.53,327.36,328.77,87465785
2020-01-27,323.03,325.12,322.66,323.5,83797934
2020-01-28,325.06,327.85,323.6,326.89,63519891
2020-01-29,328.38,328.63,326.4,326.62,53714641
2020-01-30,324.36,327.91,323.54,327.68,75184385
2020-01-31,327.0,327.17,320.73,321.73,113659402
2020-02-03,323.35,326.16,323.22,324.12,68931216
2020-02-04,328.07,330.01,327.72,329.06,61704740
2020-02-05,332.27,333.09,330.67,332.86,64864742
2020-02-06,333.91,334.19,332.8,333.98,49982975
2020-02-07,332.82,333.99,331.6,332.2,64074382
2020-02-10,331.23,334.75,331.19,334.68,41779456
2020-02-11,336.16,337.02,334.68,335.26,54773045
2020-02-12,336.83,337.65,336.43,337.42,42844434
2020-02-13,335.86,338.12,335.56,337.06,54038002
2020-02-14,337.51,337.73,336.2,337.6,64518123
2020-02-18,336.51,337.67,335.21,336.73,57195407
2020-02-19,337.79,339.08,337.48,338.34,48587393
2020-02-20,337.74,338.64,333.68,336.95,73891268
2020-02-21,335.47,335.81,332.58,333.48,113656552
2020-02-24,323.14,333.56,321.24,322.42,160991237
2020-02-25,323.94,324.61,311.69,312.65,217564684
2020-02-26,314.18,318.11,310.7,311.5,192818004
2020-02-27,305.46,311.56,297.51,297.51,282544492
2020-02-28,288.7,297.89,285.54,296.26,384911854
2020-03-02,298.21,309.16,294.46,309.09,237377617
2020-03-03,309.5,313.84,297.57,300.24,298851919
2020-03-04,306.12,313.1,303.33,312.86,175893889
2020-03-05,304.98,308.47,300.01,302.46,185533970
2020-03-06,293.15,298.78,290.23,297.46,228315219
2020-03-09,275.3,284.19,273.45,274.23,305980554
2020-03-10,284.64,288.52,273.5,288.42,274894230
2020-03-11,280.7,281.94,270.88,274.36,254604444
2020-03-12,256.0,266.66,247.68,248.11,389612072
2020-03-13,263.09,271.48,248.52,269.32,326142197
2020-03-16,241.18,256.9,237.36,239.85,295019288
2020-03-17,245.04,256.17,237.07,252.8,260566279
2020-03-18,236.25,248.37,228.02,240.0,324845381
2020-03-19,239.25,247.38,232.22,240.51,288124389
2020-03-20,242.53,244.47,228.5,228.8,344276957
2020-03-23,228.19,229.68,218.26,222.95,323100167
2020-03-24,234.42,244.1,233.8,243.15,233038623
2020-03-25,244.87,256.35,239.75,246.79,297989659
2020-03-26,249.52,262.8,249.05,261.2,256107410
2020-03-27,253.27,260.81,251.05,253.42,223871285
2020-03-30,255.7,262.43,253.53,261.65,171274407
2020-03-31,260.56,263.33,256.22,257.75,193290928
2020-04-01,247.98,257.66,243.9,246.15,188373330
2020-04-02,245.19,252.68,244.59,251.83,176669824
2020-04-03,250.76,253.32,245.22,248.19,134538553
2020-04-06,257.84,267.0,248.17,264.86,186692564
2020-04-07,274.21,275.03,264.89,265.13,199187791
2020-04-08,267.96,276.0,265.25,274.03,152670223
2020-04-09,277.58,281.2,275.47,278.2,189948139
2020-04-13,277.14,277.51,271.41,275.66,114353986
2020-04-14,280.98,284.9,275.51,283.79,133510280
